Channel,Zip,Model,Rise10_90_ms,Fall1e_ms,t4_ms
PAS1,1,4-exp,0.120000,0.547200,0.701207
PAS1,4,4-exp,0.305600,1.406400,1.623473
PAS1,7,2-exp,0.084800,0.345600,nan
PAS1,9,2-exp,0.060800,0.268800,nan
PAS1,10,3-exp,0.171200,0.728000,nan
PAS1,13,4-exp,0.059200,0.435200,0.612393
PAS1,18,2-exp,0.044800,0.267200,nan
PAS1,19,3-exp,0.166400,0.923200,nan
PAS1,22,2-exp,0.132800,0.809600,nan
PAS1,24,2-exp,0.067200,0.251200,nan
PBS1,1,2-exp,0.268800,1.030400,nan
PBS1,7,2-exp,0.064000,0.308800,nan
PBS1,9,4-exp,0.073600,0.574400,0.806964
PBS1,13,3-exp,0.075200,0.332800,nan
PBS1,15,2-exp,0.102400,0.398400,nan
PBS1,16,2-exp,0.044800,0.273600,nan
PBS1,19,4-exp,0.219200,0.923200,192.506144
PBS1,22,4-exp,0.059200,0.561600,0.775915
PBS1,24,3-exp,0.185600,0.777600,nan
PCS1,1,2-exp,0.134400,0.505600,nan
PCS1,7,2-exp,0.046400,0.235200,nan
PCS1,9,3-exp,0.078400,0.552000,nan
PCS1,15,4-exp,0.102400,0.643200,1.014960
PCS1,16,3-exp,0.030400,0.185600,nan
PCS1,24,3-exp,0.174400,0.761600,nan
PDS1,7,2-exp,0.046400,0.297600,nan
PDS1,9,2-exp,0.057600,0.339200,nan
PDS1,10,3-exp,0.043200,0.281600,nan
PDS1,15,2-exp,0.102400,0.404800,nan
PDS1,18,2-exp,0.040000,0.259200,nan
PDS1,19,2-exp,0.035200,0.846400,nan
PES1,1,2-exp,0.089600,0.428800,nan
PES1,7,2-exp,0.041600,0.225600,nan
PES1,9,2-exp,0.025600,0.228800,nan
PES1,10,4-exp,0.033600,0.227200,17.934677
PES1,13,2-exp,0.385600,1.790400,nan
PES1,15,4-exp,0.102400,0.667200,0.875791
PES1,16,4-exp,0.027200,0.163200,1.099018
PES1,18,2-exp,0.001600,0.608000,nan
PES1,19,2-exp,0.112000,1.137600,nan
PES1,22,2-exp,0.024000,2.388800,nan
PES1,24,4-exp,0.134400,1.980800,2.137949
PFS1,7,4-exp,0.068800,0.332800,0.417266
PFS1,9,2-exp,0.033600,0.304000,nan
PFS1,10,4-exp,0.072000,0.697600,3.106148
PFS1,13,3-exp,0.105600,0.448000,nan
PFS1,15,2-exp,0.091200,0.363200,nan
PFS1,16,4-exp,0.025600,0.158400,6.020215
PFS1,24,4-exp,0.416000,1.904000,1.459151
PAS2,1,2-exp,0.044800,0.569600,nan
PAS2,4,2-exp,0.081600,0.400000,nan
PAS2,7,4-exp,0.108800,0.548800,0.649733
PAS2,13,3-exp,0.070400,0.310400,nan
PAS2,15,4-exp,0.113600,0.454400,49.998043
PAS2,19,2-exp,0.294400,1.132800,nan
PAS2,24,4-exp,0.001600,0.619200,0.934711
PBS2,4,4-exp,0.147200,0.798400,0.969080
PBS2,7,3-exp,0.078400,0.363200,nan
PBS2,9,4-exp,0.083200,0.372800,0.510225
PBS2,10,4-exp,0.075200,0.532800,0.754359
PBS2,13,2-exp,0.038400,0.289600,nan
PBS2,15,2-exp,0.112000,0.449600,nan
PBS2,16,2-exp,0.033600,0.264000,nan
PBS2,18,2-exp,0.070400,0.424000,nan
PBS2,19,3-exp,0.033600,0.536000,nan
PCS2,1,4-exp,0.393600,4.065600,34.797374
PCS2,7,2-exp,0.046400,0.236800,nan
PCS2,9,2-exp,0.084800,0.321600,nan
PCS2,10,2-exp,0.046400,0.235200,nan
PCS2,15,4-exp,0.105600,0.448000,11.587178
PCS2,16,2-exp,0.033600,0.209600,nan
PCS2,22,4-exp,0.147200,1.179200,1.061380
PDS2,4,4-exp,0.308800,1.385600,1.118638
PDS2,7,2-exp,0.060800,0.560000,nan
PDS2,9,2-exp,0.153600,0.600000,nan
PDS2,10,2-exp,0.092800,0.350400,nan
PDS2,15,2-exp,0.118400,0.483200,nan
PDS2,16,2-exp,0.043200,0.252800,nan
PDS2,18,4-exp,0.030400,0.179200,2.689291
PDS2,19,2-exp,0.230400,1.188800,nan
PDS2,22,2-exp,0.059200,0.636800,nan
PES2,4,4-exp,0.134400,0.681600,0.826995
PES2,7,2-exp,0.038400,0.278400,nan
PES2,9,2-exp,0.089600,0.340800,nan
PES2,10,3-exp,0.033600,0.211200,nan
PES2,13,2-exp,0.030400,0.238400,nan
PES2,15,4-exp,0.104000,0.448000,9.026675
PES2,19,3-exp,0.035200,0.814400,nan
PES2,22,2-exp,0.164800,0.851200,nan
PES2,24,4-exp,0.147200,0.644800,0.454926
PFS2,4,3-exp,0.027200,0.249600,nan
PFS2,13,2-exp,0.028800,0.220800,nan
PFS2,15,4-exp,0.096000,0.528000,0.643644
PFS2,16,2-exp,0.035200,0.211200,nan
PFS2,18,3-exp,0.284800,1.408000,nan
PFS2,19,2-exp,0.084800,1.180800,nan
PFS2,22,4-exp,0.065600,0.592000,0.814343
