detector,series_used,run_time_h,coverage_h,valid_events,kline_events,kline_rate_mHz,hump_events,hump_rate_Hz,hump_threshold_A
Z1,26,35.93,35.46,239271,9582,75.07,4133,0.0319,1.620e-06
Z4,27,37.24,36.73,235717,23240,175.77,4148,0.0309,2.430e-06
Z6,27,37.24,36.73,232994,14689,111.10,5100,0.0380,1.824e-06
Z7,27,37.24,36.73,236190,1888,14.28,4520,0.0337,8.100e-06
Z9,27,37.24,36.73,235690,2273,17.19,4584,0.0342,3.240e-06
Z10,27,37.24,36.73,235711,6861,51.89,4862,0.0363,3.240e-06
Z13,26,35.19,34.68,228265,8235,65.95,3631,0.0287,6.480e-06
Z15,22,32.60,32.11,171434,2405,20.81,2572,0.0219,4.050e-05
Z16,27,37.24,36.73,244107,1363,10.31,4167,0.0311,7.290e-06
Z18,18,25.30,24.82,159515,16332,182.81,2571,0.0282,5.670e-06
Z19,27,37.24,36.73,232922,19948,150.87,4235,0.0316,2.430e-06
Z22,21,28.57,28.50,206394,21333,207.89,4627,0.0450,2.025e-06
Z24,27,37.24,36.73,233040,19763,149.47,5579,0.0416,2.430e-06
